#,Tag,RX Freq,Name,Mode,Skip,Step,Masked,RPT Sh,ShiftFrq,TS/DCS,Tone,DCS,TX Pwr,TX Dev,Clk Sh,SPACE,LPD,LPJ,PMR,GMRS,CB A-B,CB C-D,BANK 8,S-SPAS,POLICE,DPS,POL SN,POL VO,POL Z,POL YZ,POL Y,POL C,BANK18,WATER,A-FLOT,R-WAY,METRO,RADIO,TV CH
1,CB A02,26.075,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
2,CB A03,26.085,ALPHA,NFM,OFF,5 KHz,NO,DUP,438.400,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
3,CB A04,26.105,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
4,CB A05,26.115,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
5,CB A06,26.125,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
6,CB A07,26.135,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
7,CB A08,26.155,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
8,CB A09,26.165,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
9,CB A10,26.175,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
10,CB A11,26.185,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
11,CB A12,26.205,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
12,CB A13,26.215,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
13,CB A14,26.225,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
14,CB A15,26.235,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
15,CB A16,26.255,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
16,CB A17,26.265,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
17,CB A18,26.275,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
18,CB A19,26.285,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
19,CB A20,26.305,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
20,CB A21,26.315,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
21,CB A22,26.325,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
22,CB A23,26.355,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
23,CB A24,26.335,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
24,CB A25,26.345,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
25,CB A26,26.365,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
26,CB A27,26.375,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
27,CB A28,26.385,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
28,CB A29,26.395,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
29,CB A30,26.405,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
30,CB A31,26.415,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
31,CB A32,26.425,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
32,CB A33,26.435,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
33,CB A34,26.445,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
34,CB A35,26.455,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
35,CB A36,26.465,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
36,CB A37,26.475,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
37,CB A38,26.485,ALPHA,NFM,OFF,15 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
38,CB A39,26.495,ALPHA,NFM,OFF,15 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
39,CB A40,26.505,ALPHA,NFM,OFF,15 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
40,CB A41,26.095,ALPHA,NFM,OFF,15 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
41,CB A42,26.145,ALPHA,NFM,OFF,15 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
42,CB A43,26.195,ALPHA,NFM,OFF,15 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
43,CB A44,26.245,ALPHA,NFM,OFF,15 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
44,CB A45,26.295,ALPHA,NFM,OFF,15 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
45,CB B01,26.515,ALPHA,NFM,OFF,15 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
46,CB B02,26.525,ALPHA,NFM,OFF,5 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
47,CB B03,26.535,ALPHA,NFM,OFF,10 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
48,CB B04,26.555,ALPHA,NFM,OFF,10 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
49,CB B05,26.565,ALPHA,NFM,OFF,10 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
50,CB B06,26.575,ALPHA,NFM,OFF,10 KHz,NO,SIMP,0.000,OFF,100.0,023,HIGH,NORM,OFF,,,,,,X,,,,,,,,,,,,,,,,,,
